Sale_ID,Date,Store,Product,Units_Sold,Unit_Price,Category,Total_Sale
1,2025-01-01 09:00:00,Oxford,Wet Cat Food,7,22.09,Bird,154.63
2,2025-01-01 19:00:00,Buckingham,Flea Shampoo,7,28.01,Fish,196.07000000000002
3,2025-01-01 16:00:00,Buckingham,Wet Cat Food,6,77.17,Fish,463.02
4,2025-01-01 10:00:00,Oxford,Dog Chew Toy,1,23.2,Bird,23.2
5,2025-01-01 18:00:00,Buckingham,Cat Litter,8,43.24,Dog,345.92
6,2025-01-01 19:00:00,Buckingham,Dry Dog Food,3,35.84,Rodent,107.52000000000001
7,2025-01-01 18:00:00,Oxford,Aquarium Filter,5,47.77,Rodent,238.85000000000002
8,2025-01-01 13:00:00,Buckingham,Hamster Wheel,5,74.99,Rodent,374.95
9,2025-01-01 13:00:00,Oxford,Dog Chew Toy,8,17.33,Dog,138.64
10,2025-01-01 08:00:00,Buckingham,Rabbit Hutch,4,10.5,Fish,42.0
11,2025-01-01 14:00:00,Milton Keynes,Flea Shampoo,5,29.67,Rodent,148.35000000000002
12,2025-01-02 10:00:00,Milton Keynes,Wet Cat Food,5,78.04,Bird,390.20000000000005
13,2025-01-02 17:00:00,Aylesbury,Flea Shampoo,7,68.98,Fish,482.86
14,2025-01-02 15:00:00,Milton Keynes,Bird Seed,6,53.84,Cat,323.04
15,2025-01-02 10:00:00,Aylesbury,Bird Seed,7,60.58,Dog,424.06
16,2025-01-02 12:00:00,Milton Keynes,Aquarium Filter,8,63.53,Fish,508.24
17,2025-01-02 18:00:00,Aylesbury,Fish Flakes,6,47.89,Rodent,287.34000000000003
18,2025-01-02 16:00:00,Milton Keynes,Flea Shampoo,8,23.67,Cat,189.36
19,2025-01-02 12:00:00,Aylesbury,Hamster Wheel,3,69.57,Dog,208.70999999999998
20,2025-01-02 18:00:00,Aylesbury,Dog Chew Toy,2,13.79,Cat,27.58
21,2025-01-03 09:00:00,Aylesbury,Flea Shampoo,2,17.6,Fish,35.2
22,2025-01-03 12:00:00,Oxford,Fish Flakes,3,39.49,Cat,118.47
23,2025-01-03 11:00:00,Oxford,Fish Flakes,2,42.43,Dog,84.86
24,2025-01-03 17:00:00,Aylesbury,Rabbit Hutch,8,8.96,Dog,71.68
25,2025-01-03 11:00:00,Milton Keynes,Flea Shampoo,6,10.63,Cat,63.78
26,2025-01-03 14:00:00,Oxford,Fish Flakes,2,52.86,Dog,105.72
27,2025-01-03 08:00:00,Oxford,Cat Litter,1,20.63,Bird,20.63
28,2025-01-03 20:00:00,Buckingham,Dry Dog Food,6,54.47,Bird,326.82
29,2025-01-03 10:00:00,Oxford,Dog Chew Toy,1,65.67,Fish,65.67
30,2025-01-04 19:00:00,Buckingham,Flea Shampoo,5,64.61,Rodent,323.05
31,2025-01-04 19:00:00,Milton Keynes,Flea Shampoo,8,30.84,Dog,246.72
32,2025-01-04 14:00:00,Buckingham,Aquarium Filter,3,19.22,Bird,57.66
33,2025-01-04 09:00:00,Buckingham,Cat Litter,7,32.7,Cat,228.90000000000003
34,2025-01-04 19:00:00,Oxford,Hamster Wheel,2,30.24,Cat,60.48
35,2025-01-04 08:00:00,Milton Keynes,Cat Litter,6,22.9,Bird,137.39999999999998
36,2025-01-04 20:00:00,Aylesbury,Wet Cat Food,8,51.38,Bird,411.04
37,2025-01-04 17:00:00,Oxford,Wet Cat Food,2,28.82,Bird,57.64
38,2025-01-04 19:00:00,Buckingham,Hamster Wheel,6,26.53,Rodent,159.18
39,2025-01-04 14:00:00,Oxford,Hamster Wheel,4,77.76,Cat,311.04
40,2025-01-04 08:00:00,Buckingham,Bird Seed,6,72.23,Cat,433.38
41,2025-01-04 14:00:00,Aylesbury,Wet Cat Food,2,28.33,Fish,56.66
42,2025-01-04 10:00:00,Buckingham,Wet Cat Food,8,35.2,Bird,281.6
43,2025-01-04 08:00:00,Buckingham,Hamster Wheel,6,19.51,Cat,117.06
44,2025-01-04 12:00:00,Buckingham,Fish Flakes,1,25.12,Bird,25.12
45,2025-01-05 11:00:00,Oxford,Wet Cat Food,2,61.7,Dog,123.4
46,2025-01-05 19:00:00,Buckingham,Rabbit Hutch,7,26.06,Rodent,182.42
47,2025-01-05 12:00:00,Milton Keynes,Aquarium Filter,1,66.52,Bird,66.52
48,2025-01-05 18:00:00,Buckingham,Flea Shampoo,1,54.96,Bird,54.96
49,2025-01-05 09:00:00,Oxford,Aquarium Filter,1,17.89,Cat,17.89
50,2025-01-05 14:00:00,Buckingham,Cat Litter,8,52.03,Dog,416.24
