Sale_ID,Date,Store,Product,Units_Sold,Unit_Price,Category,Total_Sale
1,2025-06-22 08:21:59.419012,Oxford,Bird Seed,8,27.1,Bird,216.8
2,2025-07-15 08:21:59.419029,Buckingham,Dog Chew Toy,8,18.07,Dog,144.56
3,2025-06-22 08:21:59.419032,Aylesbury,Fish Flakes,4,31.0,Fish,124.0
4,2025-07-10 08:21:59.419035,Buckingham,Wet Cat Food,2,49.79,Cat,99.58
5,2025-06-25 08:21:59.419037,Buckingham,Aquarium Filter,8,23.45,Fish,187.6
6,2025-05-23 08:21:59.419040,Milton Keynes,Rabbit Hutch,8,46.26,Rodent,370.08
7,2025-06-13 08:21:59.419043,Milton Keynes,Dog Chew Toy,4,19.21,Dog,76.84
8,2025-05-27 08:21:59.419047,Buckingham,Bird Seed,3,5.56,Bird,16.68
9,2025-07-03 08:21:59.419051,Oxford,Fish Flakes,2,12.59,Fish,25.18
10,2025-05-31 08:21:59.419056,Milton Keynes,Bird Seed,9,22.67,Bird,204.03
11,2025-06-28 08:21:59.419061,Aylesbury,Rabbit Hutch,1,13.31,Rodent,13.31
12,2025-05-30 08:21:59.419066,Milton Keynes,Hamster Wheel,7,3.0,Rodent,21.0
13,2025-07-14 08:21:59.419071,Milton Keynes,Cat Litter,5,46.0,Cat,230.0
14,2025-07-11 08:21:59.419077,Aylesbury,Rabbit Hutch,8,42.65,Rodent,341.2
15,2025-05-24 08:21:59.419080,Buckingham,Flea Shampoo,4,37.88,Dog,151.52
16,2025-07-18 08:21:59.419082,Aylesbury,Rabbit Hutch,7,10.88,Rodent,76.16
17,2025-06-18 08:21:59.419084,Buckingham,Bird Seed,5,8.65,Bird,43.25
18,2025-06-09 08:21:59.419087,Buckingham,Wet Cat Food,5,6.17,Cat,30.85
19,2025-07-18 08:21:59.419099,Buckingham,Aquarium Filter,9,37.02,Fish,333.18
20,2025-06-03 08:21:59.419101,Aylesbury,Wet Cat Food,9,46.64,Cat,419.76
21,2025-07-08 08:21:59.419104,Buckingham,Bird Seed,9,23.23,Bird,209.07
22,2025-07-11 08:21:59.419106,Oxford,Aquarium Filter,6,8.59,Fish,51.54
23,2025-07-11 08:21:59.419109,Aylesbury,Flea Shampoo,6,27.07,Dog,162.42
24,2025-06-03 08:21:59.419111,Oxford,Cat Litter,5,19.39,Cat,96.95
25,2025-07-07 08:21:59.419113,Buckingham,Dog Chew Toy,9,20.61,Dog,185.49
26,2025-06-22 08:21:59.419116,Milton Keynes,Bird Seed,8,32.19,Bird,257.52
27,2025-06-22 08:21:59.419119,Buckingham,Fish Flakes,7,36.77,Fish,257.39
28,2025-06-16 08:21:59.419121,Oxford,Bird Seed,7,8.19,Bird,57.33
29,2025-07-06 08:21:59.419123,Oxford,Bird Seed,6,4.66,Bird,27.96
30,2025-07-01 08:21:59.419126,Aylesbury,Aquarium Filter,5,49.72,Fish,248.6
31,2025-06-24 08:21:59.419128,Milton Keynes,Dry Dog Food,4,13.93,Dog,55.72
32,2025-05-27 08:21:59.419131,Aylesbury,Rabbit Hutch,3,5.52,Rodent,16.56
33,2025-05-22 08:21:59.419133,Oxford,Dry Dog Food,3,11.91,Dog,35.73
34,2025-07-03 08:21:59.419136,Buckingham,Flea Shampoo,6,4.82,Dog,28.92
35,2025-05-31 08:21:59.419142,Milton Keynes,Fish Flakes,4,21.41,Fish,85.64
36,2025-06-25 08:21:59.419147,Buckingham,Cat Litter,6,40.7,Cat,244.2
37,2025-06-20 08:21:59.419152,Buckingham,Hamster Wheel,3,19.03,Rodent,57.09
38,2025-05-26 08:21:59.419156,Milton Keynes,Flea Shampoo,4,23.87,Dog,95.48
39,2025-05-27 08:21:59.419165,Aylesbury,Hamster Wheel,9,34.74,Rodent,312.66
40,2025-06-05 08:21:59.419168,Buckingham,Hamster Wheel,5,26.91,Rodent,134.55
41,2025-07-05 08:21:59.419170,Oxford,Cat Litter,7,43.48,Cat,304.36
42,2025-07-01 08:21:59.419173,Buckingham,Wet Cat Food,2,43.69,Cat,87.38
43,2025-06-28 08:21:59.419175,Milton Keynes,Dry Dog Food,5,3.46,Dog,17.3
44,2025-07-13 08:21:59.419178,Milton Keynes,Bird Seed,9,39.56,Bird,356.04
45,2025-06-30 08:21:59.419180,Milton Keynes,Dog Chew Toy,3,24.64,Dog,73.92
46,2025-06-10 08:21:59.419183,Aylesbury,Hamster Wheel,9,49.47,Rodent,445.23
47,2025-05-28 08:21:59.419185,Buckingham,Fish Flakes,6,25.7,Fish,154.2
48,2025-06-14 08:21:59.419188,Aylesbury,Flea Shampoo,4,49.37,Dog,197.48
49,2025-05-21 08:21:59.419190,Aylesbury,Wet Cat Food,7,38.45,Cat,269.15
50,2025-06-29 08:21:59.419192,Milton Keynes,Hamster Wheel,8,14.67,Rodent,117.36
51,2025-06-10 08:21:59.419195,Milton Keynes,Wet Cat Food,6,28.29,Cat,169.74
52,2025-07-04 08:21:59.419197,Aylesbury,Wet Cat Food,5,49.62,Cat,248.1
53,2025-06-29 08:21:59.419200,Buckingham,Hamster Wheel,6,43.29,Rodent,259.74
54,2025-06-16 08:21:59.419203,Oxford,Aquarium Filter,5,7.57,Fish,37.85
55,2025-07-14 08:21:59.419205,Aylesbury,Rabbit Hutch,8,36.19,Rodent,289.52
56,2025-07-12 08:21:59.419207,Buckingham,Fish Flakes,1,19.23,Fish,19.23
57,2025-07-13 08:21:59.419210,Milton Keynes,Bird Seed,7,3.32,Bird,23.24
58,2025-06-25 08:21:59.419212,Milton Keynes,Bird Seed,2,21.95,Bird,43.9
59,2025-07-14 08:21:59.419214,Buckingham,Fish Flakes,9,14.02,Fish,126.18
60,2025-06-03 08:21:59.419217,Oxford,Aquarium Filter,1,41.48,Fish,41.48
61,2025-07-02 08:21:59.419220,Milton Keynes,Bird Seed,6,18.84,Bird,113.04
62,2025-05-21 08:21:59.419224,Milton Keynes,Wet Cat Food,9,41.88,Cat,376.92
63,2025-07-09 08:21:59.419228,Milton Keynes,Cat Litter,1,3.02,Cat,3.02
64,2025-06-11 08:21:59.419233,Buckingham,Flea Shampoo,4,17.46,Dog,69.84
65,2025-06-16 08:21:59.419238,Aylesbury,Dry Dog Food,4,14.32,Dog,57.28
66,2025-07-03 08:21:59.419243,Milton Keynes,Bird Seed,9,13.97,Bird,125.73
67,2025-06-25 08:21:59.419247,Aylesbury,Fish Flakes,5,6.19,Fish,30.95
68,2025-07-03 08:21:59.419251,Oxford,Cat Litter,5,11.78,Cat,58.9
69,2025-07-15 08:21:59.419256,Milton Keynes,Hamster Wheel,6,29.1,Rodent,174.6
70,2025-06-05 08:21:59.419260,Milton Keynes,Rabbit Hutch,1,16.68,Rodent,16.68
71,2025-06-09 08:21:59.419264,Oxford,Fish Flakes,1,22.61,Fish,22.61
72,2025-06-30 08:21:59.419269,Milton Keynes,Wet Cat Food,9,20.7,Cat,186.3
73,2025-05-25 08:21:59.419273,Aylesbury,Rabbit Hutch,3,44.16,Rodent,132.48
74,2025-06-07 08:21:59.419276,Buckingham,Flea Shampoo,4,45.54,Dog,182.16
75,2025-07-05 08:21:59.419278,Aylesbury,Flea Shampoo,1,26.16,Dog,26.16
76,2025-05-26 08:21:59.419280,Buckingham,Aquarium Filter,9,18.51,Fish,166.59
77,2025-07-14 08:21:59.419283,Buckingham,Dog Chew Toy,8,8.01,Dog,64.08
78,2025-06-18 08:21:59.419286,Aylesbury,Aquarium Filter,2,47.8,Fish,95.6
79,2025-07-14 08:21:59.419288,Aylesbury,Cat Litter,8,5.82,Cat,46.56
80,2025-05-21 08:21:59.419291,Aylesbury,Rabbit Hutch,7,16.98,Rodent,118.86
81,2025-06-01 08:21:59.419293,Aylesbury,Dog Chew Toy,6,17.0,Dog,102.0
82,2025-06-03 08:21:59.419296,Oxford,Hamster Wheel,1,18.05,Rodent,18.05
83,2025-07-18 08:21:59.419298,Milton Keynes,Wet Cat Food,7,10.71,Cat,74.97
84,2025-06-22 08:21:59.419300,Buckingham,Rabbit Hutch,7,39.8,Rodent,278.6
85,2025-06-18 08:21:59.419303,Aylesbury,Aquarium Filter,9,8.75,Fish,78.75
86,2025-06-12 08:21:59.419307,Aylesbury,Dry Dog Food,1,32.83,Dog,32.83
87,2025-05-26 08:21:59.419312,Aylesbury,Dog Chew Toy,2,8.81,Dog,17.62
88,2025-07-02 08:21:59.419317,Oxford,Dog Chew Toy,9,6.31,Dog,56.79
89,2025-06-20 08:21:59.419321,Aylesbury,Wet Cat Food,9,45.73,Cat,411.57
90,2025-06-19 08:21:59.419325,Aylesbury,Bird Seed,6,11.93,Bird,71.58
91,2025-07-08 08:21:59.419330,Aylesbury,Flea Shampoo,6,41.59,Dog,249.54
92,2025-06-19 08:21:59.419332,Milton Keynes,Flea Shampoo,4,28.59,Dog,114.36
93,2025-05-20 08:21:59.419334,Oxford,Dry Dog Food,4,6.65,Dog,26.6
94,2025-07-04 08:21:59.419337,Aylesbury,Cat Litter,5,47.9,Cat,239.5
95,2025-05-21 08:21:59.419339,Buckingham,Cat Litter,3,14.6,Cat,43.8
96,2025-06-02 08:21:59.419342,Buckingham,Hamster Wheel,1,43.39,Rodent,43.39
97,2025-05-24 08:21:59.419344,Buckingham,Rabbit Hutch,1,10.92,Rodent,10.92
98,2025-06-29 08:21:59.419347,Oxford,Fish Flakes,7,43.13,Fish,301.91
99,2025-07-11 08:21:59.419349,Oxford,Bird Seed,1,3.61,Bird,3.61
100,2025-05-21 08:21:59.419352,Buckingham,Aquarium Filter,1,27.04,Fish,27.04
101,2025-05-27 08:21:59.419354,Aylesbury,Fish Flakes,3,39.15,Fish,117.45
102,2025-07-02 08:21:59.419356,Oxford,Fish Flakes,4,46.93,Fish,187.72
103,2025-06-07 08:21:59.419359,Buckingham,Dog Chew Toy,4,45.72,Dog,182.88
104,2025-07-14 08:21:59.419361,Buckingham,Dry Dog Food,2,41.51,Dog,83.02
105,2025-07-03 08:21:59.419363,Aylesbury,Flea Shampoo,1,44.73,Dog,44.73
